CALL_SIGN,VESSEL_NAME,SHIP_TYPE,FLAG,AGENT_NAME,ATD_TIME,BERTH,NEXT_PORT
V7IG8,TIANJIN BRIDGE,CONTAINER,MARSHALL ISLANDS,CMA CGM ASIA SHIPPING PTE. LTD.,2025/05/09 21:05,KC9,"SHEKOU, SHENZHEN"
BH3521,SHUN TAI HENG NO.2,FISHING,"TAIWAN, CHINA",ISM SHIPPING AGENT COMPANY,2025/05/09 21:06,YMTA,HSING TA KANG
3E5221,HAO HAI JI YUN,CONTAINER,PANAMA,"UNITRANS AGENCY HONG KONG CO., LIMITED",2025/05/09 21:40,SELA,"NANSHA, PANYU"
VRUL4,SITC YUNCHENG,CONTAINER,"HONG KONG, CHINA",SITC SHIPPING AGENCY (HK) COMPANY LIMITED,2025/05/09 21:55,KC6,"SHEKOU, SHENZHEN"
S9A3178,XIN HUA MAO 005,BULK/ WOODCHIP/ CEMENT/ ORE CARRIER,SAO TOME & PRINCIPE,SHK AGENCY LIMITED,2025/05/09 21:57,SELA,MONROVIA
TRBZ3,FANG ZHOU 23 ,CONTAINER,GABON,"UNITRANS AGENCY HONG KONG CO., LIMITED",2025/05/09 22:06,SWLA,OPEN SEA
3E5997,BRIGHT SAKURA,CONTAINER,PANAMA,OCEAN NETWORK EXPRESS (EAST ASIA) LIMITED,2025/05/09 22:27,KC2,PORT KLANG
9V3220,INTERASIA VISION,CONTAINER,SINGAPORE,HYALINE SHIPPING (HK) CO LTD,2025/05/09 22:57,TSK,"SHEKOU, SHENZHEN"
5BQU6,MSC WEST V,CONTAINER,CYPRUS,MEDITERRANEAN SHIPPING COMPANY (HONG KONG) LIMITED,2025/05/10 00:23,SELA,"NINGBO, ZJ"
V7A2823,TS SINGAPORE,CONTAINER,MARSHALL ISLANDS,CMA CGM ASIA SHIPPING PTE. LTD.,2025/05/10 00:32,LCS1,"SHEKOU, SHENZHEN"
VRLG3,SITC FANGCHENG,CONTAINER,"HONG KONG, CHINA",SITC SHIPPING AGENCY (HK) COMPANY LIMITED,2025/05/10 00:52,CMTY,DANANG
5BQC4,CAPE FORTIUS,CONTAINER,CYPRUS,OOCL HONG KONG BRANCH,2025/05/10 01:05,KC10,MANILA
9V9570,NINGBO INNOVATION,BULK/ WOODCHIP/ CEMENT/ ORE CARRIER,SINGAPORE,SHK AGENCY LIMITED,2025/05/10 01:26,SWLA,"OTHER, INDONESIA"
D7UN,KMTC NINGBO,CONTAINER,REPUBLIC OF KOREA,KMTC (HK) CO LIMITED,2025/05/10 02:28,KC10,KWANGYANG
VRTT8,NICOLAI MAERSK,CONTAINER,"HONG KONG, CHINA",SINOTRANS (HK) SHIPPING LTD,2025/05/10 03:06,KC19,HAIPHONG
A8TT4,RIO KOBE,CONTAINER,LIBERIA,PENAVICO (HONG KONG) LIMITED,2025/05/10 03:41,SELA,JAKARTA
T8A4996,DATU HONOR,CONTAINER,REPUBLIC OF PALAU,OCEAN BASE CO LTD,2025/05/10 04:17,SWLA,HAIPHONG
V7A7350,TS MELBOURNE,CONTAINER,MARSHALL ISLANDS,T.S. LINES LIMITED,2025/05/10 04:37,SELA,SYDNEY
3FQL8,HAYABUSA,GENERAL / HEAVY LIFT CARGO,PANAMA,NS UNITED SHIPPING (HK) CO LIMITED,2025/05/10 05:23,SWLA,OPEN SEA
