CALL_SIGN,VESSEL_NAME,SHIP_TYPE,FLAG,LAST_PORT,AGENT_NAME,VESSEL_MAX_DRAFT,ATA_TIME,BERTH
V7HE8,LEVIATHAN,BULK/ WOODCHIP/ CEMENT/ ORE CARRIER,MARSHALL ISLANDS,"TABONEO, INDONESIA",KT SHIPPING COMPANY LIMITED,16.62,2025/05/16 13:42,CLP
9V7852,WAN HAI 367,CONTAINER,SINGAPORE,"ZHANJIANG, GD",HYALINE SHIPPING (HK) CO LTD,11.5,2025/05/16 14:11,SELA
V7AZ4,TS BANGKOK,CONTAINER,MARSHALL ISLANDS,"SHEKOU, SHENZHEN",T.S. LINES LIMITED,9.3,2025/05/16 15:25,KC9
5LLO6,MSC MAPUTO,CONTAINER,LIBERIA,"SHEKOU, SHENZHEN",MEDITERRANEAN SHIPPING COMPANY (HONG KONG) LIMITED,10.5,2025/05/16 15:29,SELA
BRHW,HAI XIN YOU 619,"TANKER (CRUDE,FUEL,DIESEL,LUB)",CHINA,YANGPU,VASTON SHIPPING AGENCY LIMITED,7.5,2025/05/16 15:49,SLA
3E4702,MONT BLANC I ,"TANKER (CRUDE,FUEL,DIESEL,LUB)",PANAMA,"NINGBO, ZJ",GULF AGENCY CO (HK) LTD,11.9,2025/05/16 16:29,SLA
3E5816,OCEANIC STAR,BULK/ WOODCHIP/ CEMENT/ ORE CARRIER,PANAMA,HUIZHOUGANG,SHK AGENCY LIMITED,9,2025/05/16 16:31,SWLA
BOCO2,XIN RONG HE,BULK/ WOODCHIP/ CEMENT/ ORE CARRIER,CHINA,"OTHER, INDONESIA",SGS HONG KONG LIMITED,7.1,2025/05/16 17:09,SWLA
BHLT,WAN HAI 272,CONTAINER,"TAIWAN, CHINA",KAOHSIUNG,HYALINE SHIPPING (HK) CO LTD,9.2,2025/05/16 17:49,KC6
9HYQ8,MAJORCA,BULK/ WOODCHIP/ CEMENT/ ORE CARRIER,MALTA,"TABONEO, INDONESIA",SGS HONG KONG LIMITED,13.2,2025/05/16 17:57,SELA
5LEJ3,SOL HONGKONG,GENERAL / HEAVY LIFT CARGO,LIBERIA,SUBIC BAY,SK SHIPPING LIMITED,6.3,2025/05/16 18:16,SELA
TJM5208,MARIA 593,GENERAL / HEAVY LIFT CARGO,CAMEROON,INCHEON,YIU LIAN DOCKYARDS LTD,3.5,2025/05/16 18:32,CMTY
3E3895,MAO GANG GUANG ZHOU,CONTAINER,PANAMA,"NANSHA, PANYU",LEGO CONSOLIDATOR & WAREHOUSE COMPANY LIMITED,9.9,2025/05/16 18:42,SWLA
OYLZ2,NAKSKOV MAERSK,CONTAINER,DENMARK,KAOHSIUNG,SINOTRANS (HK) SHIPPING LTD,9.7,2025/05/16 18:44,KC17
3FDM5,HOUYOSHI EXPRESS II,CHEMICAL,PANAMA,YANGPU,VASTON SHIPPING AGENCY LIMITED,11.8,2025/05/16 18:50,SLA
VRWE8,OOCL AMERICA,CONTAINER,"HONG KONG, CHINA",LAEM CHABANG,OOCL HONG KONG BRANCH,12.3,2025/05/16 19:09,KC8
VRPS8,SILVER JOAN,"TANKER (CRUDE,FUEL,DIESEL,LUB)","HONG KONG, CHINA",OPEN SEA,S5 ASIA LIMITED,8.4,2025/05/16 20:12,SLA
VRSC2,SITC TOKUYAMA,CONTAINER,"HONG KONG, CHINA",HAIPHONG,SITC SHIPPING AGENCY (HK) COMPANY LIMITED,7.9,2025/05/16 20:18,CMTY
V7ZR2,STARSHIP URSA,CONTAINER,MARSHALL ISLANDS,BUSAN,NAMSUNG SHIPPING HONG KONG LIMITED,9.7,2025/05/16 20:25,KC7
9V6517,WAN HAI 296,CONTAINER,SINGAPORE,"SHANGHAI, SH",HYALINE SHIPPING (HK) CO LTD,9.4,2025/05/16 20:29,LCS1
9HA4040,COSCO HELLAS,CONTAINER,MALTA,"CHIWAN, SHENZHEN",COSCO SHIPPING CONTAINER LINE AGENCIES LIMITED,10.1,2025/05/16 20:38,KC14
C5J424,GAS VISION,LIQUIFIED PETROLEUM GAS TANKER,GAMBIA,QINGDAO,"ZHONGXIN INTERNATIONAL GROUP CO., LIMITED",8,2025/05/16 21:09,SLA
3E4695,CRUX TWIN,GENERAL / HEAVY LIFT CARGO,PANAMA,KEELUNG,IGOR SHIPPING AGENCIES LTD,7.2,2025/05/16 21:29,A29
VRWF4,CA MANILA,CONTAINER,"HONG KONG, CHINA","XIAMEN, FJ",BEN LINE AGENCIES (HK) LTD,8.7,2025/05/16 21:30,KC3
C4NK2,PUSAN C,CONTAINER,CYPRUS,"NANSHA, PANYU",MEDITERRANEAN SHIPPING COMPANY (HONG KONG) LIMITED,12.9,2025/05/16 21:44,KC2
VRTD8,FOREVER BRILLIANCY,"TANKER (CRUDE,FUEL,DIESEL,LUB)","HONG KONG, CHINA",PORT MORESBY,MARITIME TRANSPORT AGENCY (HONG KONG) LIMITED,8.5,2025/05/16 21:47,MBA
H3TK,TIAN LI,BULK/ WOODCHIP/ CEMENT/ ORE CARRIER,PANAMA,GUANGZHOU,"ZHONGXIN INTERNATIONAL GROUP CO., LIMITED",7.5,2025/05/16 21:47,SWLA
9V3760,WAN HAI 521,CONTAINER,SINGAPORE,"SHANGHAI, SH",HYALINE SHIPPING (HK) CO LTD,8.45,2025/05/16 22:34,KC13
D5IN6,ATACAMA,CONTAINER,LIBERIA,SINGAPORE,PENAVICO (HONG KONG) LIMITED,12.6,2025/05/16 22:46,KC18
5LLY5,MSC VIVIENNE,CONTAINER,LIBERIA,"SHEKOU, SHENZHEN",MEDITERRANEAN SHIPPING COMPANY (HONG KONG) LIMITED,12,2025/05/16 22:59,KC5
D5WI8,BOCHEM LUXEMBOURG,CHEMICAL,LIBERIA,GUANGZHOU,SHING FUNG SHIPPING AGENCY CO. LIMITED,6.5,2025/05/16 23:11,SLA
