CALL_SIGN,VESSEL_NAME,SHIP_TYPE,ETA_TIME,FLAG,LAST_PORT,AGENT_NAME,PASI
3E5349,MARINA PROSPERITY ,CHEMICAL,2025/05/17 01:00,PANAMA,"OTHER, VIETNAM",MARITIME TRANSPORT AGENCY (HONG KONG) LIMITED,RCVD
3E2713,XINTIAN 30,"TANKER (CRUDE,FUEL,DIESEL,LUB)",2025/05/17 02:00,PANAMA,"BEIHAI, SHACHENG, GX",MINDA SHIPPING (HONG KONG) LIMITED,RCVD
VRID5,COSCO VIETNAM,CONTAINER,2025/05/17 02:00,"HONG KONG, CHINA","XIAMEN, FJ",COSCO SHIPPING CONTAINER LINE AGENCIES LIMITED,RCVD
5LCT7,EVER COMMAND,CONTAINER,2025/05/17 03:00,LIBERIA,HO CHI MINH CITY,EVERGREEN MARINE (HONG KONG) LTD,RCVD
3FHN5,BROTHER 36,GENERAL / HEAVY LIFT CARGO,2025/05/17 05:00,PANAMA,HAIPHONG,Y & W SHIPPING COMPANY LIMITED,RCVD
9V7583,WAN HAI 517,CONTAINER,2025/05/17 06:00,SINGAPORE,QINGDAO,HYALINE SHIPPING (HK) CO LTD,RCVD
BTJE3,ZHUN XING 7,BULK/ WOODCHIP/ CEMENT/ ORE CARRIER,2025/05/17 06:00,CHINA,"OTHER, INDONESIA",MINDA SHIPPING (HONG KONG) LIMITED,RCVD
VRTE8,CUL HAIPHONG,CONTAINER,2025/05/17 06:00,"HONG KONG, CHINA","SHANTOU, GD","UNITRANS AGENCY HONG KONG CO., LIMITED",RCVD
VRCX3,BELAWAN,CONTAINER,2025/05/17 06:00,"HONG KONG, CHINA",PENANG ISLAND,KMTC (HK) CO LIMITED,RCVD
T2SG5,KENYO,BULK/ WOODCHIP/ CEMENT/ ORE CARRIER,2025/05/17 07:00,TUVALU,"OTHER, VIETNAM",PROSPERITY STEAMSHIP CO LTD,RCVD
5LMI6,XIANG TAI KOU,GENERAL / HEAVY LIFT CARGO,2025/05/17 08:00,LIBERIA,"JIANGYIN, JS",PENAVICO (HONG KONG) LIMITED,RCVD
A8AP2,ZHEN HUA 36,GENERAL / HEAVY LIFT CARGO,2025/05/17 08:00,LIBERIA,"SHANGHAI, SH",YIU LIAN DOCKYARDS LTD,RCVD
5LGW8,DEAR PANEL,CONTAINER,2025/05/17 10:00,LIBERIA,LAEM CHABANG,OOCL HONG KONG BRANCH,RCVD
VRNL8,SEASPAN BREEZE,CONTAINER,2025/05/17 11:00,"HONG KONG, CHINA",OAKLAND,OCEAN NETWORK EXPRESS (EAST ASIA) LIMITED,RCVD
T8A4559,HONG LI,GENERAL / HEAVY LIFT CARGO,2025/05/17 12:00,REPUBLIC OF PALAU,KAOHSIUNG,OCEAN DRAGON AGENCY COMPANY LIMITED,RCVD
OZUU2,ADRIAN MAERSK ,CONTAINER,2025/05/17 13:00,DENMARK,"SHANGHAI, SH",TRANSIT AGENT,RCVD
D7GH,HEUNG- A YOUNG,CONTAINER,2025/05/17 15:00,REPUBLIC OF KOREA,INCHEON,KONG HING AGENCY LTD,RCVD
H3TK,TIAN LI,BULK/ WOODCHIP/ CEMENT/ ORE CARRIER,2025/05/17 16:00,PANAMA,GUANGZHOU,UNKNOWN AGENT,RCVD
3E6905,FUNENG 1,BULK/ WOODCHIP/ CEMENT/ ORE CARRIER,2025/05/17 17:00,PANAMA,SHIMIZU,CGW LOGISTICS CO LIMITED,RCVD
