CALL_SIGN,VESSEL_NAME,AGENT_NAME,FLAG,ATD_TIME,NEXT_PORT,ATA_TIME,BERTH,LAST_PORT,CURRENT_LOCATION,VESSEL_MAX_DRAFT,PASI,SHIP_TYPE
V7BQ2,GENCO RESOLUTE,BEN LINE AGENCIES (HK) LTD,MARSHALL ISLANDS,2025/05/13 04:13,PORT HEDLAND,2025/05/12 08:37,SELA,"DALIAN, LN",E,9,RCVD,BULK/ WOODCHIP/ CEMENT/ ORE CARRIER
3E2779,DE LONG,TEXCO MARINE AGENCY LIMITED,PANAMA,2025/05/12 14:20,SINGAPORE,2025/05/12 09:08,SWLA,"DONGGUAN, GD",W,7.5,RCVD,BULK/ WOODCHIP/ CEMENT/ ORE CARRIER
5BEB4,MARATHASSA,WELLS MARINE AGENCIES,CYPRUS,2025/05/12 16:49,"ZHANJIANG, GD",2025/05/12 09:14,SELA,NEWCASTLE,E,14.4,RCVD,BULK/ WOODCHIP/ CEMENT/ ORE CARRIER
3FPF4,SAZANKA,MOL HONG KONG LIMITED,PANAMA,2025/05/12 15:54,OPEN SEA,2025/05/12 10:14,SWLA,OPEN SEA,S,5.2,RCVD,BULK/ WOODCHIP/ CEMENT/ ORE CARRIER
VRRH2,FOREVER GLORY,MARITIME TRANSPORT AGENCY (HONG KONG) LIMITED,"HONG KONG, CHINA",2025/05/13 15:17,SINGAPORE,2025/05/12 10:33,PAFF,"DALIAN, LN",PAFF,11.9,RCVD,"TANKER (CRUDE,FUEL,DIESEL,LUB)"
3E4026,STR LUCKY,GREEN ISLAND SHIPPING AGENCY LTD,PANAMA,2025/05/15 09:59,NAURU ISLAND,2025/05/12 12:34,CCM,MURORAN,CCM,9.1,RCVD,BULK/ WOODCHIP/ CEMENT/ ORE CARRIER
3E4003,SUNFLYTE,OCEAN BASE CO LTD,PANAMA,2025/05/12 19:19,OPEN SEA,2025/05/12 12:44,SLA,"SHEKOU, SHENZHEN",W,9,RCVD,CHEMICAL
V7KN6,ZIRCON,OCEANUS MARITIME COMPANY LIMITED,MARSHALL ISLANDS,2025/05/13 03:47,OPEN SEA,2025/05/12 14:29,SLA,"SHEKOU, SHENZHEN",LKTPBW5,7,RCVD,CHEMICAL
D5WB7,MANET,OOCL HONG KONG BRANCH,LIBERIA,2025/05/13 04:02,"SHEKOU, SHENZHEN",2025/05/12 17:31,KC6,PORT KLANG,LKTPBS,10.5,RCVD,CONTAINER
9V6513,WAN HAI 293,HYALINE SHIPPING (HK) CO LTD,SINGAPORE,2025/05/11 12:29,"CHIWAN, SHENZHEN",2025/05/11 00:13,WA2,"SHEKOU, SHENZHEN",KC6,9.7,RCVD,CONTAINER
5LFU8,WAN HAI 178,HYALINE SHIPPING (HK) CO LTD,LIBERIA,2025/05/11 08:56,"SHEKOU, SHENZHEN",2025/05/11 00:46,KC6,HAIPHONG,KC6,8.5,RCVD,CONTAINER
