CALL_SIGN,ETD_TIME,VESSEL_MAX_DRAFT,ATA_TIME,ETA_TIME,FLAG,VESSEL_NAME,NEXT_PORT,LAST_PORT,BERTH,SHIP_TYPE,PASI,ATD_TIME,CURRENT_LOCATION,AGENT_NAME
VRSK4,2025/05/15 18:00,13.8,2025/05/14 09:53,2025/05/12 00:01,"HONG KONG, CHINA",COSCO SHIPPING LOTUS,"YANTIAN, SHENZHEN",KAOHSIUNG,KC14,CONTAINER,RCVD,2025/05/14 21:26,WL,COSCO SHIPPING CONTAINER LINE AGENCIES LIMITED
D7QB,2025/05/14 18:30,10.2,2025/05/14 10:25,2025/05/14 03:00,REPUBLIC OF KOREA,HEUNG-A BANGKOK,"SHANGHAI, SH",PENANG ISLAND,KC9,CONTAINER,RCVD,2025/05/14 20:59,S,KONG HING AGENCY LTD
V7AQ9,2025/05/15 10:14,11,2025/05/14 11:27,2025/05/14 12:00,MARSHALL ISLANDS,GENCO RELIANCE,OPEN SEA,"OTHER, CHINA (COAST)",SELA,BULK/ WOODCHIP/ CEMENT/ ORE CARRIER,RCVD,2025/05/15 14:49,E,WILHELMSEN PORT SERVICES (HONG KONG) LIMITED
3E7431,2025/05/15 14:00,7.3,2025/05/14 12:59,2025/05/13 18:00,PANAMA,HUI YUAN,"TABONEO, INDONESIA",HUIZHOUGANG,SELA,BULK/ WOODCHIP/ CEMENT/ ORE CARRIER,RCVD,2025/05/14 16:56,E,SGS HONG KONG LIMITED
5BCK2,2025/05/13 11:00,6.72,2025/05/13 04:31,2025/05/12 08:00,CYPRUS,MEGALOHARI,OPEN SEA,"CHAOZHOU, GD",SELA,BULK/ WOODCHIP/ CEMENT/ ORE CARRIER,RCVD,2025/05/13 08:25,SELA,"UNITRANS AGENCY HONG KONG CO., LIMITED"
3EJI7,2025/05/13 02:00,5.44,2025/05/12 19:01,2025/05/12 18:00,PANAMA,ZAMBALES,HAIPHONG,TAIPEI,CMTY,RORO/REEFER CARRIER,RCVD,2025/05/13 01:56,S,EASTERN WORLDWIDE CO LTD
9HA5839,2025/05/12 21:30,9.02,2025/05/12 19:15,2025/05/12 07:00,MALTA,CNC PUMA,"TIANJIN XINGANG, TJ","OTHER, VIETNAM",URMA,CONTAINER,RCVD,2025/05/12 19:16,WL,CMA CGM ASIA SHIPPING PTE. LTD.
VRWI3,2025/05/13 12:00,11.5,2025/05/12 23:10,2025/05/15 20:00,"HONG KONG, CHINA",OOCL BAUHINIA,"YANTIAN, SHENZHEN","YANTIAN, SHENZHEN",KC14,CONTAINER,RCVD,2025/05/13 15:13,KC14,OOCL HONG KONG BRANCH
D7VN,2025/05/13 17:00,12.5,2025/05/12 23:16,2025/05/12 21:00,REPUBLIC OF KOREA,KMTC COLOMBO,QINGDAO,KARACHI,KC8,CONTAINER,RCVD,2025/05/13 16:59,KC8,KMTC (HK) CO LIMITED
VRUN6,2025/05/13 21:00,14.6,2025/05/13 00:30,2025/05/11 21:00,"HONG KONG, CHINA",ONE PARANA,SINGAPORE,"NINGBO, ZJ",KC2,CONTAINER,RCVD,2025/05/13 20:44,KC2,OCEAN NETWORK EXPRESS (EAST ASIA) LIMITED
3E8732,2025/05/13 08:00,7.1,2025/05/13 00:31,2025/05/12 23:00,PANAMA,HUI FENG HAI 17,BATAM,"TIANJIN XINGANG, TJ",SWLA,GENERAL / HEAVY LIFT CARGO,RCVD,2025/05/13 10:00,SWLA,CGW LOGISTICS CO LIMITED
9V6494,2025/05/13 18:00,11.1,2025/05/13 01:24,2025/05/12 23:59,SINGAPORE,WAN HAI 325,KAOHSIUNG,SINGAPORE,KC6,CONTAINER,RCVD,2025/05/13 19:41,KC6,HYALINE SHIPPING (HK) CO LTD
VRMV2,2025/05/13 08:00,6.3,2025/05/13 02:14,2025/05/12 18:00,"HONG KONG, CHINA",YUEHAI STAR,"JIANGYIN, JS","DONGGUAN, GD",SLA,CHEMICAL,RCVD,2025/05/13 07:29,SLA,CGW LOGISTICS CO LIMITED
