VESSEL_NAME,BERTH,ETA,ASSIGNED_START,ESTIMATED_END,WAIT_TIME
KMTC GWANGYANG,KC10,2025-05-14 21:30:00,2025-05-14 21:30:00,2025-05-15 08:30:00,0 days
OCEAN DUKE,KC5,2025-05-14 22:00:00,2025-05-14 22:00:00,2025-05-15 22:00:00,0 days
MAERSK QINZHOU,SELA,2025-05-15 01:00:00,2025-05-15 01:00:00,2025-05-15 10:30:00,0 days
MAERSK NINGBO,SLA,2025-05-15 05:30:00,2025-05-15 05:30:00,2025-05-15 20:00:00,0 days
SHOKAI ,SWLA,2025-05-15 06:00:00,2025-05-15 06:00:00,2025-05-15 23:55:00,0 days
CSCL ASIA,KC19,2025-05-15 06:00:00,2025-05-15 06:00:00,2025-05-15 18:00:00,0 days
AVIOS,KC8,2025-05-15 06:30:00,2025-05-15 06:30:00,2025-05-15 15:00:00,0 days
LAUTOKA CHIEF,KC9,2025-05-15 08:30:00,2025-05-15 08:30:00,2025-05-15 22:00:00,0 days
HAI SU 6,KC10,2025-05-15 09:00:00,2025-05-15 09:00:00,2025-05-15 15:00:00,0 days
COSCO SHIPPING BRAZIL,KC4,2025-05-15 09:00:00,2025-05-15 09:00:00,2025-05-16 10:00:00,0 days
TS PUSAN,KC16,2025-05-15 09:00:00,2025-05-15 09:00:00,2025-05-15 11:08:00,0 days
TS GUANGZHOU,KC11,2025-05-15 13:30:00,2025-05-15 13:30:00,2025-05-15 09:34:00,0 days
GREEN POWER,KC11,2025-05-15 14:30:00,2025-05-15 14:30:00,2025-05-16 09:00:00,0 days
OOCL BAUHINIA,KC11,2025-05-15 20:00:00,2025-05-15 20:00:00,2025-05-13 12:00:00,0 days
HONG DA XIN 758,KC11,2025-05-16 00:00:00,2025-05-16 00:00:00,2025-05-15 23:00:00,0 days
NICOLAI MAERSK,KC11,2025-05-16 03:30:00,2025-05-16 03:30:00,2025-05-16 14:30:00,0 days
WAN HAI 178,KC11,2025-05-16 05:30:00,2025-05-16 05:30:00,2025-05-12 05:00:00,0 days
EVER WIN,KC11,2025-05-16 07:00:00,2025-05-16 07:00:00,2025-05-16 15:00:00,0 days
XIN DAN DONG,SHELL,2025-05-16 08:00:00,2025-05-16 08:00:00,2025-05-16 23:00:00,0 days
HOUYOSHI EXPRESS II,KC11,2025-05-16 18:00:00,2025-05-16 18:00:00,2025-05-11 15:00:00,0 days
HAIAN LINK,KC11,2025-05-16 23:30:00,2025-05-16 23:30:00,2025-05-11 18:00:00,0 days
