CALL_SIGN,FLAG,SHIP_TYPE,ETA_TIME,ETD_TIME,CURRENT_LOCATION,VESSEL_MAX_DRAFT,NEXT_PORT,PASI,VESSEL_NAME,AGENT_NAME,BERTH,LAST_PORT,WEATHER_IMPACT_PCT,CONGESTION_IMPACT_PCT
9WUY7,MALAYSIA,CONTAINER,2025/05/14 07:00,2025/05/14 21:30,SELA,8.0,KUCHING,RCVD,HARBOUR HORIZON,HARBOUR-LINK LINES LIMITED ,KC2,"NANSHA, PANYU",15.87,32.23
H3YG,PANAMA,CONTAINER,2025/05/13 22:00,2025/05/14 23:00,KC,8.8,KOTA KINABALU,RCVD,UNI-PREMIER,EVERGREEN MARINE (HONG KONG) LTD,KC,KAOHSIUNG,23.17,23.81
3E5147,PANAMA,BULK/ WOODCHIP/ CEMENT/ ORE CARRIER,2025/05/14 04:00,2025/05/14 15:00,SWLA,7.5,OPEN SEA,RCVD,SEA MAPLE,CGW LOGISTICS CO LIMITED,SWLA,"FANGCHENG, GX",15.99,33.17
VRCY6,"HONG KONG, CHINA",CONTAINER,2025/05/13 03:00,2025/05/14 23:00,KC10,9.2,"DALIAN, LN",RCVD,SEASPAN YINGKOU,EVERGREEN MARINE (HONG KONG) LTD,KC10,"NINGBO, ZJ",22.37,26.98
3E2170,PANAMA,GENERAL / HEAVY LIFT CARGO,2025/05/14 09:00,2025/05/14 18:00,PT,8.31,OPEN SEA,RCVD,APOLLO FIRST,VEROSA AGENCY LIMITED,SELA,YAWATA,13.11,41.08
5LSI3,LIBERIA,BULK/ WOODCHIP/ CEMENT/ ORE CARRIER,2025/05/14 07:44,2025/05/15 10:13,E,14.5,SINGAPORE,RCVD,POST MARVEL,TOTAL MARINE AGENCY LIMITED,SELA,PRINCE RUPERT,20.68,28.31
CQIU6,PORTUGAL,CONTAINER,2025/05/11 11:00,2025/05/14 17:30,S,7.5,LAEM CHABANG,RCVD,AS COLUMBIA,SINOTRANS (HK) SHIPPING LTD,KC17,"NANSHA, PANYU",22.81,28.34
HP9499,PANAMA,BULK/ WOODCHIP/ CEMENT/ ORE CARRIER,2025/05/14 06:00,2025/05/14 23:00,W,5.8,NAKHODKA,RCVD,HOLLY DEVELOPER,SGS HONG KONG LIMITED,SELA,"ZHANJIANG, GD",18.74,28.08
3E7558,PANAMA,CHEMICAL,2025/05/14 10:00,2025/05/15 18:43,SLA,7.2,"DONGGUAN, GD",RCVD,MARINA ARUNG,WALLEM SHIPPING (HK) LTD,SLA,"OTHER, CHINA (COAST)",20.73,30.31
V7A5825,MARSHALL ISLANDS,CONTAINER,2025/05/15 13:30,2025/05/15 09:34,S,8.8,"SHEKOU, SHENZHEN",RCVD,TS GUANGZHOU,T.S. LINES LIMITED,KC6,"SHEKOU, SHENZHEN",0,0
VRSK4,"HONG KONG, CHINA",CONTAINER,2025/05/12 00:01,2025/05/15 18:00,WL,13.8,"YANTIAN, SHENZHEN",RCVD,COSCO SHIPPING LOTUS,COSCO SHIPPING CONTAINER LINE AGENCIES LIMITED,KC14,KAOHSIUNG,22.7,26.85
D7QB,REPUBLIC OF KOREA,CONTAINER,2025/05/14 03:00,2025/05/14 18:30,S,10.2,"SHANGHAI, SH",RCVD,HEUNG-A BANGKOK,KONG HING AGENCY LTD,KC9,PENANG ISLAND,18.86,32.33
V7AQ9,MARSHALL ISLANDS,BULK/ WOODCHIP/ CEMENT/ ORE CARRIER,2025/05/14 12:00,2025/05/15 10:14,E,11.0,OPEN SEA,RCVD,GENCO RELIANCE,WILHELMSEN PORT SERVICES (HONG KONG) LIMITED,SELA,"OTHER, CHINA (COAST)",25.7,27.35
3E7431,PANAMA,BULK/ WOODCHIP/ CEMENT/ ORE CARRIER,2025/05/13 18:00,2025/05/15 14:00,E,7.3,"TABONEO, INDONESIA",RCVD,HUI YUAN,SGS HONG KONG LIMITED,SELA,HUIZHOUGANG,22.44,24.2
5BCK2,CYPRUS,BULK/ WOODCHIP/ CEMENT/ ORE CARRIER,2025/05/12 08:00,2025/05/13 11:00,SELA,6.72,OPEN SEA,RCVD,MEGALOHARI,"UNITRANS AGENCY HONG KONG CO., LIMITED",SELA,"CHAOZHOU, GD",19.99,29.03
3EJI7,PANAMA,RORO/REEFER CARRIER,2025/05/12 18:00,2025/05/13 02:00,S,5.44,HAIPHONG,RCVD,ZAMBALES,EASTERN WORLDWIDE CO LTD,CMTY,TAIPEI,29.4,14.49
9HA5839,MALTA,CONTAINER,2025/05/12 07:00,2025/05/12 21:30,WL,9.02,"TIANJIN XINGANG, TJ",RCVD,CNC PUMA,CMA CGM ASIA SHIPPING PTE. LTD.,URMA,"OTHER, VIETNAM",14.68,32.45
VRWI3,"HONG KONG, CHINA",CONTAINER,2025/05/15 20:00,2025/05/13 12:00,KC14,11.5,"YANTIAN, SHENZHEN",RCVD,OOCL BAUHINIA,OOCL HONG KONG BRANCH,KC14,"YANTIAN, SHENZHEN",0,0
